feature,importance
numerical__detection_time_hours,0.17571548050883287
numerical__records_affected,0.1605308343192744
categorical__data_exfiltration_0,0.13709102159763142
numerical__ransom_demand_usd,0.09329751895419916
categorical__data_exfiltration_1,0.06802009893024301
categorical__sector_Finance,0.02958076439531418
categorical__zero_day_used_0,0.028891867488181698
categorical__zero_day_used_1,0.028284692745903242
categorical__sector_Healthcare,0.02136243165797671
categorical__sector_Government,0.01977747457646352
categorical__threat_actor_Unknown,0.014208793953924704
categorical__sector_Retail,0.013870216632818882
categorical__region_Europe,0.013178956553651321
categorical__region_Asia Pacific,0.012427143116160557
categorical__attack_type_Malware,0.012052793013485719
categorical__threat_actor_Cybercriminal Group,0.01191505561728678
categorical__threat_actor_State-Sponsored,0.011679726663649437
categorical__threat_actor_Hacktivist,0.011678638335871993
categorical__attack_type_DDoS,0.011143046308534748
categorical__sector_Education,0.011048800999476319
categorical__region_North America,0.010792743462081535
categorical__attack_type_Insider Threat,0.01072340785269899
categorical__threat_actor_Insider,0.010659305720203913
categorical__sector_Manufacturing,0.010432425262029456
categorical__region_Latin America,0.010303933636430975
categorical__attack_type_Phishing,0.010178570075120139
categorical__sector_Technology,0.00938152517056109
categorical__region_Middle East & Africa,0.009257115285072582
categorical__attack_type_Credential Theft,0.0090460260230169
categorical__attack_type_Supply Chain,0.007881804566566624
categorical__sector_Energy,0.007881276349265965
categorical__attack_type_Ransomware,0.007706510228071228
